,Rank,Movie,Year,Crew,IMDB Ratings,User Reviews
57,58,WALL·E,2008,"Andrew Stanton (dir.), Ben Burtt, Elissa Knight",8.4,1145107
58,59,The Lives of Others,2006,"Florian Henckel von Donnersmarck (dir.), Ulrich Mühe, Martina Gedeck",8.4,397058
59,60,Sunset Blvd.,1950,"Billy Wilder (dir.), William Holden, Gloria Swanson",8.4,227180
60,61,Paths of Glory,1957,"Stanley Kubrick (dir.), Kirk Douglas, Ralph Meeker",8.4,202505
61,62,Avengers: Infinity War,2018,"Anthony Russo (dir.), Robert Downey Jr., Chris Hemsworth",8.4,1126787
62,63,The Shining,1980,"Stanley Kubrick (dir.), Jack Nicholson, Shelley Duvall",8.4,1050978
63,64,The Great Dictator,1940,"Charles Chaplin (dir.), Charles Chaplin, Paulette Goddard",8.4,229023
64,65,Witness for the Prosecution,1957,"Billy Wilder (dir.), Tyrone Power, Marlene Dietrich",8.4,129759
65,66,Spider-Man: Into the Spider-Verse,2018,"Bob Persichetti (dir.), Shameik Moore, Jake Johnson",8.4,582548
66,67,Aliens,1986,"James Cameron (dir.), Sigourney Weaver, Michael Biehn",8.3,733455
67,68,American Beauty,1999,"Sam Mendes (dir.), Kevin Spacey, Annette Bening",8.3,1174670
68,69,The Dark Knight Rises,2012,"Christopher Nolan (dir.), Christian Bale, Tom Hardy",8.3,1744369
69,70,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,1964,"Stanley Kubrick (dir.), Peter Sellers, George C. Scott",8.3,500974
70,71,Inglourious Basterds,2009,"Quentin Tarantino (dir.), Brad Pitt, Diane Kruger",8.3,1494636
71,72,Oldboy,2003,"Park Chan-wook (dir.), Choi Min-sik, Yoo Ji-tae",8.3,597436
72,73,Coco,2017,"Lee Unkrich (dir.), Anthony Gonzalez, Gael García Bernal",8.3,536391
73,74,Amadeus,1984,"Milos Forman (dir.), F. Murray Abraham, Tom Hulce",8.3,410205
74,75,Toy Story,1995,"John Lasseter (dir.), Tom Hanks, Tim Allen",8.3,1020139
75,76,Braveheart,1995,"Mel Gibson (dir.), Mel Gibson, Sophie Marceau",8.3,1056896
76,77,Das Boot,1981,"Wolfgang Petersen (dir.), Jürgen Prochnow, Herbert Grönemeyer",8.3,255915
77,78,Joker,2019,"Todd Phillips (dir.), Joaquin Phoenix, Robert De Niro",8.3,1358406
78,79,Avengers: Endgame,2019,"Anthony Russo (dir.), Robert Downey Jr., Chris Evans",8.3,1183643
79,80,Princess Mononoke,1997,"Hayao Miyazaki (dir.), Yôji Matsuda, Yuriko Ishida",8.3,407553
80,81,Good Will Hunting,1997,"Gus Van Sant (dir.), Robin Williams, Matt Damon",8.3,1005640
81,82,Once Upon a Time in America,1984,"Sergio Leone (dir.), Robert De Niro, James Woods",8.3,360870
82,83,Your Name.,2016,"Makoto Shinkai (dir.), Ryunosuke Kamiki, Mone Kamishiraishi",8.3,288037
83,84,3 Idiots,2009,"Rajkumar Hirani (dir.), Aamir Khan, Madhavan",8.3,411460
84,85,Singin' in the Rain,1952,"Stanley Donen (dir.), Gene Kelly, Donald O'Connor",8.3,249338
85,86,High and Low,1963,"Akira Kurosawa (dir.), Toshirô Mifune, Yutaka Sada",8.3,47949 
86,87,Requiem for a Dream,2000,"Darren Aronofsky (dir.), Ellen Burstyn, Jared Leto",8.3,862791
87,88,Capernaum,2018,"Nadine Labaki (dir.), Zain Al Rafeea, Yordanos Shiferaw",8.3,95554 
88,89,Toy Story 3,2010,"Lee Unkrich (dir.), Tom Hanks, Tim Allen",8.3,856528
89,90,Star Wars: Episode VI - Return of the Jedi,1983,"Richard Marquand (dir.), Mark Hamill, Harrison Ford",8.3,1079219
90,91,Come and See,1985,"Elem Klimov (dir.), Aleksey Kravchenko, Olga Mironova",8.3,86312 
91,92,Eternal Sunshine of the Spotless Mind,2004,"Michel Gondry (dir.), Jim Carrey, Kate Winslet",8.3,1032657
92,93,2001: A Space Odyssey,1968,"Stanley Kubrick (dir.), Keir Dullea, Gary Lockwood",8.3,686562
93,94,The Hunt,2012,"Thomas Vinterberg (dir.), Mads Mikkelsen, Thomas Bo Larsen",8.3,342199
94,95,Reservoir Dogs,1992,"Quentin Tarantino (dir.), Harvey Keitel, Tim Roth",8.3,1044354
95,96,Lawrence of Arabia,1962,"David Lean (dir.), Peter O'Toole, Alec Guinness",8.2,301598
96,97,Citizen Kane,1941,"Orson Welles (dir.), Orson Welles, Joseph Cotten",8.2,451172
97,98,M,1931,"Fritz Lang (dir.), Peter Lorre, Ellen Widmann",8.2,161866
98,99,Ikiru,1952,"Akira Kurosawa (dir.), Takashi Shimura, Nobuo Kaneko",8.2,81990 
99,100,North by Northwest,1959,"Alfred Hitchcock (dir.), Cary Grant, Eva Marie Saint",8.2,334997
100,101,The Apartment,1960,"Billy Wilder (dir.), Jack Lemmon, Shirley MacLaine",8.2,186881
101,102,Vertigo,1958,"Alfred Hitchcock (dir.), James Stewart, Kim Novak",8.2,411336
102,103,Amélie,2001,"Jean-Pierre Jeunet (dir.), Audrey Tautou, Mathieu Kassovitz",8.2,770423
103,104,Double Indemnity,1944,"Billy Wilder (dir.), Fred MacMurray, Barbara Stanwyck",8.2,161019
104,105,A Clockwork Orange,1971,"Stanley Kubrick (dir.), Malcolm McDowell, Patrick Magee",8.2,848980
105,106,Full Metal Jacket,1987,"Stanley Kubrick (dir.), Matthew Modine, R. Lee Ermey",8.2,759872
106,107,Hamilton,2020,"Thomas Kail (dir.), Lin-Manuel Miranda, Phillipa Soo",8.2,101903
107,108,Scarface,1983,"Brian De Palma (dir.), Al Pacino, Michelle Pfeiffer",8.2,867644
108,109,Incendies,2010,"Denis Villeneuve (dir.), Lubna Azabal, Mélissa Désormeaux-Poulin",8.2,184546
109,110,Heat,1995,"Michael Mann (dir.), Al Pacino, Robert De Niro",8.2,678118
110,111,Up,2009,"Pete Docter (dir.), Edward Asner, Jordan Nagai",8.2,1071500
111,112,To Kill a Mockingbird,1962,"Robert Mulligan (dir.), Gregory Peck, John Megna",8.2,322555
